[2024-11-13 13:37:15,015][loggingtest.py][ERROR] Test
[2024-11-13 13:37:18,790][loggingtest.py][ERROR] Test
[2024-11-13 13:37:19,199][loggingtest.py][ERROR] Test
[2024-11-13 13:37:19,465][loggingtest.py][ERROR] Test
[2024-11-13 13:37:19,511][loggingtest.py][ERROR] Test
[2024-11-13 13:37:19,642][loggingtest.py][ERROR] Test
[2024-11-13 13:38:12,891][loggingtest.py][ERROR] Test
[2024-11-13 13:38:13,522][loggingtest.py][ERROR] Test
[2024-11-13 13:39:58,059][loggingtest.py][ERROR] Test
[2024-11-13 13:39:58,763][loggingtest.py][ERROR] Test
[2024-11-13 13:40:43,789][loggingtest.py][ERROR] Test
[2024-11-13 13:40:44,918][loggingtest.py][ERROR] Test
[2024-11-13 13:40:45,842][loggingtest.py][ERROR] Test
[2024-11-13 13:42:07,734][loggingtest.py][ERROR] Test
[2024-11-13 13:42:08,685][loggingtest.py][ERROR] Test
[2024-11-13 13:42:23,244][loggingtest.py][ERROR] Test
[2024-11-13 13:42:23,824][loggingtest.py][ERROR] Test
[2024-11-13 13:42:24,580][loggingtest.py][ERROR] Test
[2024-11-13 13:43:58,499][loggingtest.py][INFO] Starting
[2024-11-13 13:43:58,499][loggingtest.py][ERROR] Test
[2024-11-13 13:43:58,499][loggingtest.py][INFO] Updated task...
